1	11
1	17
1	34
1	35
1	43
1	45
1	46
1	48
1	59
1	64
1	71
1	72
1	73
1	88
1	103
1	121
2	3
2	4
2	26
2	28
2	33
2	36
2	39
2	47
2	74
2	81
2	100
2	102
2	103
2	106
2	115
2	125
3	2
3	22
3	28
3	33
3	39
3	54
3	69
3	74
3	89
3	102
3	106
3	110
3	114
3	120
3	122
3	125
4	2
4	13
4	19
4	22
4	39
4	41
4	51
4	55
4	89
4	97
4	104
4	106
4	113
4	115
4	122
4	125
5	9
5	14
5	28
5	54
5	56
5	62
5	66
5	67
5	70
5	80
5	90
5	101
5	105
5	108
5	109
5	119
6	18
6	24
6	29
6	40
6	49
6	57
6	66
6	75
6	77
6	78
6	87
6	91
6	92
6	107
6	116
6	122
7	12
7	16
7	24
7	29
7	37
7	40
7	42
7	49
7	52
7	60
7	66
7	78
7	83
7	99
7	107
7	118
8	18
8	33
8	34
8	44
8	45
8	46
8	61
8	65
8	72
8	79
8	89
8	96
8	121
8	124
8	126
8	127
9	5
9	10
9	14
9	25
9	30
9	54
9	66
9	67
9	70
9	84
9	93
9	98
9	105
9	111
9	117
9	118
10	9
10	19
10	20
10	23
10	27
10	51
10	70
10	76
10	86
10	97
10	101
10	105
10	109
10	111
10	118
10	119
11	1
11	18
11	31
11	34
11	35
11	43
11	45
11	72
11	76
11	79
11	82
11	93
11	95
11	97
11	103
11	124
12	7
12	16
12	24
12	32
12	42
12	52
12	57
12	58
12	60
12	63
12	83
12	87
12	92
12	99
12	107
12	108
13	4
13	26
13	28
13	33
13	41
13	47
13	55
13	88
13	89
13	93
13	102
13	104
13	106
13	120
13	125
13	126
14	5
14	9
14	20
14	21
14	23
14	39
14	54
14	56
14	67
14	80
14	82
14	84
14	90
14	105
14	109
14	117
15	16
15	24
15	32
15	50
15	52
15	55
15	57
15	60
15	63
15	75
15	78
15	87
15	91
15	99
15	107
15	116
16	7
16	12
16	15
16	29
16	37
16	49
16	53
16	63
16	73
16	75
16	77
16	87
16	95
16	112
16	116
16	128
17	1
17	31
17	34
17	44
17	64
17	71
17	72
17	82
17	85
17	90
17	93
17	95
17	117
17	121
17	124
17	126
18	6
18	8
18	11
18	27
18	31
18	34
18	35
18	44
18	45
18	48
18	59
18	64
18	72
18	96
18	114
18	124
19	4
19	10
19	20
19	27
19	30
19	56
19	62
19	76
19	84
19	86
19	90
19	97
19	98
19	108
19	109
19	119
20	10
20	14
20	19
20	25
20	44
20	54
20	62
20	70
20	76
20	80
20	84
20	86
20	97
20	98
20	108
20	119
21	14
21	25
21	27
21	54
21	62
21	70
21	84
21	86
21	90
21	92
21	98
21	101
21	105
21	109
21	117
21	119
22	3
22	4
22	28
22	39
