1	19
1	23
1	25
1	26
2	6
2	17
2	24
2	26
3	5
3	21
3	28
3	30
4	11
4	16
4	22
4	27
5	3
5	7
5	17
5	29
6	2
6	8
6	19
6	26
7	5
7	12
7	29
7	30
8	6
8	23
8	25
8	26
9	14
9	15
9	18
9	20
10	21
10	28
10	29
10	30
11	4
11	16
11	22
11	27
12	7
12	17
12	21
12	28
13	16
13	22
13	27
14	9
14	15
14	18
14	20
15	9
15	14
15	18
15	20
16	4
16	11
16	13
16	22
16	27
17	2
17	5
17	12
17	21
17	30
18	9
18	14
18	15
18	20
18	24
19	1
19	6
19	23
19	25
19	26
20	9
20	14
20	15
20	18
20	28
21	3
21	10
21	12
21	17
21	30
22	4
22	11
22	13
22	16
22	27
23	1
23	8
23	19
23	24
23	25
24	2
24	18
24	23
24	25
24	26
25	1
25	8
25	19
25	23
25	24
25	30
26	1
26	2
26	6
26	8
26	19
26	24
27	4
27	11
27	13
27	16
27	22
27	29
28	3
28	10
28	12
28	20
28	29
28	30
29	5
29	7
29	10
29	27
29	28
29	30
30	3
30	7
30	10
30	17
30	21
30	25
30	28
30	29
